NAME,TEAM,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Brandon Greene,CHI,0,0,0,0,0,0,0,0,0,0
Braedon Bowman,LAC,0,0,0,0,0,0,0,0,0,0
Deon Yelder,NO,0,0,0,0,0,0,0,0,0,0
Gary Barnidge,NFL,0,0,0,0,0,0,0,0,0,0
Brandon Barnes,DET IR,0,0,0,0,0,0,0,0,0,0
Cameron Brate,TB,0,0,0,0,0,591,6,0,0,0
Rico Gathers,DAL,0,0,0,0,0,0,0,0,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,0,0
Gavin Escobar,MIA,0,0,0,0,0,0,0,0,0,0
Andrew Vollert,ARI,0,0,0,0,0,0,0,0,0,0
Darrell Daniels,IND,0,0,0,0,0,26,0,0,0,0
Adam Shaheen,CHI,0,0,0,0,0,127,3,0,0,0
Jared Cook,OAK,0,0,0,0,0,688,2,0,0,1
Evan Engram,NYG,0,0,0,14,0,722,6,0,0,0
Kyle Rudolph,MIN,0,0,0,0,0,532,8,0,0,0
Kevin Rader,GB,0,0,0,0,0,0,0,0,0,0
Colin Thompson,CHI,0,0,0,0,0,0,0,0,0,0
Nick Keizer,BAL,0,0,0,0,0,0,0,0,0,0
Nick Vannett,SEA,0,0,0,0,0,124,1,0,0,0
Austin Traylor,DEN,0,0,0,0,0,100,0,0,0,0
Zach Ertz,PHI,0,0,0,0,0,824,8,0,0,1
Ross Dwelley,SF,0,0,0,0,0,0,0,0,0,0
Will Dissly,SEA,0,0,0,0,0,0,0,0,0,0
Antony Auclair,TB,0,0,0,0,0,25,0,0,0,0
Phillip Supernaw,TEN,0,0,0,0,0,39,1,0,0,0
Nick Boyle,BAL,0,0,0,0,0,203,0,0,1,0
Richard Rodgers,PHI,0,0,0,0,0,160,1,0,0,0
Darren Fells,CLE,0,0,0,0,0,177,3,0,0,0
Khari Lee,BUF,0,0,0,0,0,0,0,0,0,0
Julian Allen,CLE,0,0,0,0,0,0,0,0,0,0
MyCole Pruitt,HOU,0,0,0,0,0,0,0,0,0,0
Jordan Franks,CIN,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,NE,0,0,0,0,0,1084,8,0,1,0
Luke Stocker,TEN,0,0,0,0,0,30,1,0,0,0
Ryan Izzo,NE,0,0,0,0,0,0,0,0,0,0
Chris Manhertz,CAR,0,0,0,0,0,17,0,0,0,0
Jason Reese,TB,0,0,0,0,0,0,0,0,0,0
MarQueis Gray,MIA,0,0,0,14,0,10,0,0,0,0
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,0,0
Alex Gray,ATL,0,0,0,0,0,0,0,0,0,0
Cole Hunt,LAC,0,0,0,0,0,0,0,0,0,0
Nick O'Leary,BUF,0,0,0,0,0,322,2,0,0,1
Demetrius Harris,KC,0,0,0,0,0,224,1,0,0,0
Clive Walford,NYJ,0,0,0,0,0,80,0,0,0,0
Jesse James,PIT,0,0,0,0,0,372,3,0,0,0
Austin Hooper,ATL,0,0,0,0,0,526,3,0,0,0
Donnie Ernsberger,TB,0,0,0,0,0,0,0,0,0,0
Troy Niklas,NE,0,0,0,0,0,132,1,0,0,0
Austin Seferian-Jenkins,JAX,0,0,0,0,0,357,3,0,0,1
Jace Amaro,KC,0,0,0,0,0,0,0,0,0,0
Ed Dickson,SEA,0,0,0,0,0,437,1,0,0,0
Jason Croom,BUF,0,0,0,0,0,0,0,0,0,0
Thomas Duarte,MIA,0,0,0,0,0,0,0,0,0,0
Dwayne Allen,NE,0,0,0,0,0,86,1,0,0,0
Dion Sims,CHI,0,0,0,0,0,180,1,0,0,0
A.J. Derby,MIA,0,0,0,0,0,244,2,0,0,1
Troy Mangen,ATL,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,HOU,0,0,0,0,0,158,1,0,1,0
Devon Cajuste,CLE,0,0,0,0,0,0,0,0,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,0,0
Gabe Holmes,ARI,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,GB,0,0,0,0,0,520,10,0,1,0
Antonio Gates,NFL,0,0,0,0,0,316,3,0,0,0
Cole Hikutini,SF,0,0,0,0,0,15,0,0,0,0
DeAndre Goolsby,NFL,0,0,0,0,0,0,0,0,0,0
Gerald Everett,LA,0,0,0,13,0,244,2,0,0,1
Vernon Davis,WAS,0,0,0,0,0,648,3,0,0,2
Ross Travis,IND,0,0,0,0,0,76,0,0,0,0
Emanuel Byrd,GB,0,0,0,0,0,31,0,0,0,0
Clark Harris,CIN,0,0,0,0,0,0,0,0,0,0
Jack Doyle,IND,0,0,0,0,0,690,4,0,0,2
Matt Lengel,HOU,0,0,0,0,0,0,0,0,0,0
Beau Sandland,ARI,0,0,0,0,0,0,0,0,0,0
David Morgan,MIN,0,0,0,0,0,95,1,0,0,0
Ricky Seals-Jones,ARI,0,0,0,0,0,201,3,0,0,0
Pharaoh Brown,OAK,0,0,0,0,0,0,0,0,0,0
Geoff Swaim,DAL,0,0,0,0,0,25,0,0,0,0
Josh Hill,NO,0,0,0,-8,0,125,1,0,0,2
Marcus Baugh,OAK,0,0,0,0,0,0,0,0,0,0
Julius Thomas,NFL,0,0,0,0,0,388,3,0,0,0
Sean McGrath,DET,0,0,0,0,0,46,0,0,0,0
Jordan Thomas,HOU,0,0,0,0,0,0,0,0,0,0
Jerell Adams,NYG,0,0,0,0,0,92,0,0,0,0
Josh Perkins,PHI,0,0,0,0,0,0,0,0,0,0
Tyrone Swoopes,SEA,0,0,0,0,0,0,0,0,0,0
Paul Butler,OAK,0,0,0,0,0,0,0,0,0,0
Hayden Hurst,BAL,0,0,0,0,0,0,0,0,0,0
David Njoku,CLE,0,0,0,1,0,386,4,0,0,0
Travis Kelce,KC,0,0,1,7,0,1038,8,0,0,0
Tyler Kroft,CIN,0,0,0,0,0,404,7,0,0,0
Keith Towbridge,BUF,0,0,0,0,0,0,0,0,0,0
Jevoni Robinson,HOU,0,0,0,0,0,0,0,0,0,0
Hakeem Valles,DET,0,0,0,0,0,0,0,0,0,0
Bryce Williams,ARI,0,0,0,0,0,0,0,0,0,0
Mason Schreck,CIN,0,0,0,0,0,0,0,0,0,0
Charles Clay,BUF,0,0,0,0,0,558,2,0,0,0
Tanner Hudson,TB,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,CIN,0,0,0,0,0,92,1,0,0,0
Josiah Price,MIN,0,0,0,0,0,0,0,0,0,0
Trey Edmunds,NO,0,0,0,48,1,0,0,0,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,0,0
Greg Olsen,CAR,0,0,0,0,0,191,1,0,0,0
Ethan Wolf,TEN,0,0,0,0,0,0,0,0,0,0
Eric Ebron,IND,0,0,0,0,0,574,4,0,0,1
Troy Fumagalli,DEN,0,0,0,0,0,0,0,0,0,0
Tyler Hoppes,MIN,0,0,0,0,0,0,0,0,0,0
Delanie Walker,TEN,0,0,0,-2,1,807,3,0,0,2
Tim Semisch,TEN,0,0,0,0,0,0,0,0,0,0
O.J. Howard,TB,0,0,0,0,0,432,6,0,0,2
Tyler Eifert,CIN,0,0,0,0,0,46,0,0,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,0,0
Timothy Wright,KC,0,0,0,0,0,0,0,0,0,0
Ryan Hewitt,CIN,0,0,0,0,0,22,0,0,0,0
Randall Telfer,NFL,0,0,0,0,0,36,0,0,0,0
Jeff Heuerman,DEN,0,0,0,0,0,142,2,0,0,0
Xavier Grimble,PIT,0,0,0,0,0,32,1,0,0,0
Michael Roberts,DET,0,0,0,0,0,46,0,0,0,0
Jordan Leggett,NYJ,0,0,0,0,0,0,0,0,0,0
Benjamin Watson,NO,0,0,0,0,0,522,4,0,0,0
Ben Johnson,LAC,0,0,0,0,0,0,0,0,0,0
Christian Scotland-Williamson,PIT,0,0,0,0,0,0,0,0,0,0
Alec Bloom,ARI,0,0,0,0,0,0,0,0,0,0
Ian Thomas,CAR,0,0,0,0,0,0,0,0,0,0
Asante Cleveland,NFL,0,0,0,0,0,0,0,0,0,0
Blake Mack,KC,0,0,0,0,0,0,0,0,0,0
Michael Hoomanawanui,NO,0,0,0,0,0,52,1,0,0,0
Eric Saubert,ATL,0,0,0,0,0,0,0,0,0,0
Evan Baylis,CAR,0,0,0,0,0,0,0,0,0,0
Lance Kendricks,GB,0,0,0,0,0,203,1,0,0,0
Luke Willson,DET,0,0,0,0,0,153,4,0,0,0
Jake Roh,NFL,0,0,0,0,0,0,0,0,0,0
Virgil Green,LAC,0,0,0,0,0,191,1,0,0,0
Billy Brown,PHI,0,0,0,0,0,0,0,0,0,0
Daniel Brown,CHI,0,0,0,0,0,129,0,0,0,0
Jake McGee,PIT IR,0,0,0,0,0,0,0,0,0,0
Cole Wick,SF,0,0,0,0,0,0,0,0,0,0
Adam Zaruba,PHI,0,0,0,0,0,0,0,0,0,0
Ryan Smith,GB,0,0,0,0,0,0,0,0,0,0
Ben Braunecker,CHI,0,0,0,0,0,0,0,0,0,0
Sean Culkin,LAC,0,0,0,0,0,0,0,0,0,0
Niles Paul,JAX,0,0,0,4,0,94,0,0,0,0
Bucky Hodges,NYJ,0,0,0,0,0,0,0,0,0,0
